# One row per defect this suite claims to prevent. Tab separated:
#
#   label <TAB> file <TAB> literal to replace <TAB> replacement <TAB> check that must fail
#
# Every row that names a commit is a defect that SHIPPED and was found by
# looking at the game rather than by running this suite. The row exists to prove
# the suite would catch it now. A row whose check does not fail is a check that
# is decorative, and the harness reports that as a failure of the harness.
#
# Literals are matched exactly and must be unique in the file.
the patcher writes its own text into shipped GLSL	src/Common/Patching/ShaderPatcher.cs	                    code = staged;	                    code = staged + "\n// VintageVisuals:" + group.Name + "\n";	no mod bookkeeping
the delivery table hides a target that never arrived	src/Common/Patching/ShaderPatcher.cs	: NEVER reached the hook. Nothing was tried; no patch of its group 	: fine. 	never reached the hook
the hook writes back source the patcher never saw	src/Common/ShaderSourceInterceptor.cs	string patched = patcher.Patch(filename, original);	string patched = patcher.Patch(filename, original + " ");	hands the patcher
a rejected crossing is painted as a miss	assets/vintagevisuals/shadersnippets/pseudopbr.glsl	        if (why == VV_SSR_TOO_THICK)   return vec4(0.9, 0.9, 0.1, color.a);	        if (why == VV_SSR_TOO_THICK)   return vec4(0.9, 0.1, 0.1, color.a);	painted the same colour
two march outcomes share a code	assets/vintagevisuals/shadersnippets/pseudopbr.glsl	#define VV_SSR_TOO_THICK    5.0	#define VV_SSR_TOO_THICK    4.0	its own code
the step-budget diagnostic never reports saturation	assets/vintagevisuals/shadersnippets/pseudopbr.glsl	        float over = clamp(m49.wanted / float(VV_SSR_STEPS) - 1.0, 0.0, 1.0);	        float over = 0.0;	saturated budget
the march stops sampling at the named stride	assets/vintagevisuals/shadersnippets/pseudopbr.glsl	    float wanted = max(travel.x, travel.y) / max(0.5, VV_SSR_STRIDE);	    float wanted = max(travel.x, travel.y) / max(0.5, VV_SSR_STRIDE * 8.0);	stride the constant names
the depth report compares against a stale tolerance	src/Reflections/SceneCaptureRenderer.cs	private const float ReflectionThicknessBlocks = 0.5f;	private const float ReflectionThicknessBlocks = 0.9f;	tolerance that ships
the capture's depth is assumed finer than one byte	src/Reflections/SceneCaptureRenderer.cs	private const float DepthChannelLevels = 255f;	private const float DepthChannelLevels = 65535f;	one byte
the depth-precision view never reports coarse data	assets/vintagevisuals/shadersnippets/pseudopbr.glsl	        float coarse = clamp(quantum / max(1e-5, VV_SSR_THICKNESS) - 1.0, 0.0, 1.0);	        float coarse = 0.0;	finer than its data
a subsystem is enabled by default and does nothing	src/Common/VintageVisualsConfig.cs	                return Enabled &&	                return false &&	does something
a studio slider points at the wrong property	src/Ui/VisualSettingRegistry.cs	"pbr_normalstrength", "PseudoPBR.NormalStrength"	"pbr_normalstrength", "PseudoPBR.SpecularStrength"	edit the same property
a studio slider offers a range the config would clamp	src/Ui/VisualSettingRegistry.cs	W, "Rain and wetness", 0f, 1f, 0.05f);	W, "Rain and wetness", 0f, 9f, 0.05f);	silently correct
a friendly debug name points at no shader arm	src/Ui/DebugViewRegistry.cs	Pbr(13, "Foliage transmission"	Pbr(99, "Foliage transmission"	does not implement
a shader diagnostic becomes unreachable by name	src/Ui/DebugViewRegistry.cs	Pbr(29, "Canopy gate"	Pbr(129, "Canopy gate"	can be reached by name
the material texel footprint stops using derivatives	assets/vintagevisuals/shadersnippets/pseudopbr.glsl	return max(length(dFdx(texelCoord)), length(dFdy(texelCoord)));	return 0.0;	measured from derivatives
the material texel resolvability gate is inverted	assets/vintagevisuals/shadersnippets/pseudopbr.glsl	return 1.0 - smoothstep(VV_TEXEL_FOOTPRINT_CRISP,	return smoothstep(VV_TEXEL_FOOTPRINT_CRISP,	gates below-Nyquist
the material texel grid stops fading unresolved detail	assets/vintagevisuals/shadersnippets/pseudopbr.glsl	return vec3(mix(0.5, antiAliased, resolvability));	return vec3(antiAliased);	consumes the footprint
the material texels-per-pixel diagnostic is bypassed	assets/vintagevisuals/shadersnippets/pseudopbr.glsl	if (mode == 52) return vec4(vvMaterialTexelResolutionDebug(materialUv), color.a);	if (mode == 52) return vec4(vec3(0.0), color.a);	reachable as mode 52
the scene capture goes back to hard-coded primary colour	src/Reflections/SceneCaptureRenderer.cs	FrameBufferRef color = HasColorTexture(current) ? current : null;	FrameBufferRef color = null;	unquestioned colour source
the scene capture stops reporting framebuffer IDs	src/Reflections/SceneCaptureRenderer.cs	+ " chosenColor=" + DescribeBuffer(source.Color)	+ " color=" + DescribeBuffer(source.Color)	reports its framebuffer source
the two panels disagree about a default	src/Common/VintageVisualsConfig.cs	public float AerialPerspective { get; set; } = 0.5f;	public float AerialPerspective { get; set; } = 0.7f;	describe a shared setting the same way
the studio stops exposing a ConfigLib setting	src/Ui/VisualSettingRegistry.cs	"weather_frost", "Weather.FrostStrength"	"weather_frost_x", "Weather.FrostStrength"	exposes everything
the native studio bypasses the config notification path	src/VintageVisualsModSystem.cs	() => ConfigManager.NotifyChanged()	() => { }	NotifyChanged
the native studio uses the reload hotkey default	src/VintageVisualsModSystem.cs	GlKeys.U, HotkeyType.GUIOrOtherControls	GlKeys.V, HotkeyType.GUIOrOtherControls	expected ID/type
display refresh starts notifying subsystems	src/Ui/VisualTuningStudioController.cs	return settings.ToDictionary(s => s.Code, DisplayValue, StringComparer.Ordinal);	_notifyChanged(); return settings.ToDictionary(s => s.Code, DisplayValue, StringComparer.Ordinal);	display refresh does not mutate
